id,type,text1,text2,text3,text4,text5,notes
XLII_shaobi,SHIP,"// In what can only be described as a bureaucratic anomaly, the Department of Acquisitions & Sustainment approved a Marine-commissioned vessel. How this survived the budget committee, Command review, and didn't get sacrificed to patch holes in the Altais production line remains one of the system's great mysteries.

The Shaobi-class light carrier is the result—a Rastaban-class destroyer that's been comprehensively gutted and rebuilt to Marine specifications. Every weight-saving measure that made the Rastaban fast and lethal? Gone. The advanced targeting suite? Stripped. The Excalibur loitering munition system? Relocated to make room for what Marines apparently consider ""adequate"" hangar space.

What you get instead is a reasonably large hangar bay—enough for two full squadrons of strike craft—and a massive staging area that can comfortably house a reinforced Marine company with full combat load. Armoury, briefing spaces, drop pod tubes, the works. The Marines even convinced someone to install dedicated fabrication bays for ordnance and repair drones. It's practically a mobile firebase.

The trade-off? She's slower than the Rastaban by a significant margin, and the protection's marginal at best. But here's the thing—it works. Fast enough to keep pace with cruiser formations, cheap enough to risk in forward deployment, and purpose-built for the kind of rapid boarding actions and planetary raids that have become our bread and butter since Ring-Port started acting up.

Fleet's still adapting doctrine around her. Some captains love having organic Marine support attached to their task groups. Others think we're trying to reinvent the Alwaid on a destroyer budget. The Marines, naturally, are insufferable about the whole thing.

Admiral Torres signed off on a second production run last month. Make of that what you will. //

- Commander Sarah Okonkwo, Fleet Integration Office",,,,,
XLII_errakis,SHIP,"// You want to know why the Errakis works? Because it knows what it is.
Purpose-built from the keel up as carrier muscle, the Errakis-class doesn't pretend to be a fleet flagship or a lone wolf hunter. It's the shield and spear of a carrier strike group—nothing more, nothing less. While the Alwaid lumbers into position and the fighters do their dance, the Errakis sits in the middle distance and makes damn sure nothing gets close enough to matter.

The missile loadout is obscene. Vertical launch cells packed stem to stern, enough ordnance to swamp anything short of a battlecruiser's point defence network. Doctrine calls for saturation strikes coordinated with the carrier's fighter wings—the Errakis softens the target, the strike craft finish it. In practice? It works. The 42nd Battlegroup proved that during the Athebyne campaign when a three-ship Errakis division turned a rebel cruiser squadron into expanding debris clouds in under four minutes.

The compromise? The radar array. Command wanted everything—long-range tracking, fire control redundancy, independent operations capability. Engineering said pick two. So we picked the VLS and the datalink suite, and the Errakis got a perfectly adequate sensor package instead. It relies on the Eltanin-class screen ships and the carrier's combat information centre for targeting data, which sounds like a vulnerability until you realise that's exactly how carrier groups are supposed to work anyway.

Some captains hate that dependency. They want the autonomy, the glory of independent operations. Those captains don't get Errakis-class postings. The ones who do understand something fundamental: in a carrier strike group, you're never alone. The datalink means you see what the group sees, and when you ripple-fire a full salvo, you're not just one destroyer—you're the fist of the entire formation.

Is it the fastest ship in the fleet? No. The Rastaban and Altais have it beat. Is it the toughest? Not even close—look to the Juza for that. But what it is is reliable. It shows up, it does the job, and it keeps the carrier alive to launch another strike.

The joke in the fleet is that Errakis crews have boring careers—they never get the flashy solo kills or the desperate last stands. They just sit in formation, launch missiles, and go home.

Boring works. Boring wins wars. //

 - Captain Johanna Vex, XLII Battlegroup Operations",,,,,
XLII_shaowei,SHIP,"IDENTIFICATION ERROR: No matching hull signature.
Note: Primary registry checksum [CORRUPTED]. Secondary hash [REDACTED].

 // FILE INTEGRITY: DEGRADED
 // ACCESS LEVEL: RESTRICTED

[BEGIN REPORT EXCERPT - DECLASS LV.6]
 Subject vessel displays anomalous spatial displacement activity inconsistent with standard Alliance doctrine. Records indicate a costly, extended development cycle. Internal memos reference “thermal cascade events” during reentry, with one source describing it as “an electric storm stretched across three dimensions.”
Primary fleet rollout cancelled. Budgetary excess and field attrition rates unacceptable. Remaining prototypes: status UNKNOWN.
[WARNING] Multiple attempts to track registry checksum failed — probable phase interference or deliberate masking.
Classification: Experimental / Suppressed
[END EXCERPT]

// WARNING: P-SPACE ECHOES DETECTED
 // VISUAL CONTACT ADVISED AGAINST
 // REPORT ALL SIGHTINGS TO ARCHIVAL CONTROL",,,,,
XLII_giausar,SHIP,"// The Giausar-class destroyer was a sister project to the Rastaban, commissioned from the same military corporation under the ambitious ""Constellation"" initiative. While the Rastaban hunted targets at range, the Giausar was purpose-built as a dedicated Point Defence platform—the shield to its sister's sword.

Designed from the keel up to screen larger fleet elements, the Giausar features a relatively advanced PD drone network managed by a sophisticated onboard nanoforge. The system can fabricate replacement drones mid-engagement, maintaining defensive coverage even during sustained combat operations. It's an elegant solution to the age-old problem of ammunition expenditure in extended fleet actions.

In practice, the Giausar excels at what it was designed to do: sit in formation and swat down anything smaller than a frigate. Missile saturation strikes? Not on her watch. Fighter wings? Target practice for the drone swarm. The ship's networked defence grid integrates seamlessly with fleet battle management systems, making it a force multiplier in task group operations.

The trade-offs, however, are substantial. To accommodate the drone bays and nanoforge infrastructure, the Giausar sacrificed offensive punch and independent operational capability. She's got minimal anti-ship armament—enough to ward off opportunistic raiders, but nothing that'll threaten a proper warship. Thick armour, sure, but slow to manoeuvre. Send her out alone and she's a liability. Embed her in a battle line, and she's worth her weight in fuel. //

- Lieutenant Commander Harlow, 7th Destroyer Squadron",,,,,
XLII_eltanin,SHIP,"// The Eltanin-class light cruiser. If the Alliance has a backbone, it's this ship.

Built in the lead-up to the war when we still thought we could outmanoeuvre problems instead of having to glass them from orbit, the Eltanin was designed around a simple concept: fast, flexible, lethal. Hunter-killer doctrine, back when that meant something beyond ""throw missiles at it until it stops moving."" She's meant to lead hybrid operations—coordinate the destroyers, exploit gaps in enemy formations, single out stragglers, and punish anything smaller than herself.

And she does it well. Too well, maybe. We've produced more Eltanins than any other cruiser in the system, and you'll find them everywhere—picket duty, patrol groups, carrier escorts, even solo reconnaissance runs when command gets creative with the risk assessments. Versatile doesn't begin to cover it.

The speed's her greatest asset. She'll outpace most cruisers and keep pace with destroyer squadrons without breaking a sweat. Pair that with a respectable missile loadout and decent electronic warfare suite, and you've got a ship that can dictate engagement range against anything that isn't packing capital-grade engines. She punches down beautifully—destroyers and frigates don't stand a chance if they're caught isolated.

But here's the thing: the Eltanin's a light cruiser. Emphasis on light. Get her into a slugging match with anything heavier and those thin plates start to matter. She's not built to trade blows with battlecruisers or hold the line against concentrated fire. Her role is exploitation, not attrition.

Still, after a decade of service and more battle honours than I can count, the Eltanin's earned her reputation. Reliable. Adaptable. The kind of ship you're glad to have on your wing when things go sideways.

Just don't expect miracles. She's a cruiser, not a battleship. //

 - Anonymous, Fleet Survey Compilation, Post-War Analysis Group",,,,,
XLII_juza,SHIP,"// The Juza was supposed to be our answer to everything—speed, firepower, protection—all wrapped up in a cruiser hull that wouldn't bankrupt the fleet. Command wanted a ship that could hold the line and still chase down stragglers. What they got was a technical marvel that damn near killed its first crew.

The problem wasn't the concept. The flux management system is genuinely brilliant—reroutes power faster than anything else in the fleet. Shields buckling under fire? Pull from the weapons. Need to punch through? Dump everything into the mass drivers and pray your armour holds. On paper, it was perfect. In practice, during initial trials, the system had a nasty habit of cycling too aggressively. Hull plating would superheat, capacitors would blow, and the power distribution network would strobe like a broken light fixture.

We lost three months to reworks. Engineering stripped out half the automation, added redundancies, slowed the cycle time. It wasn't elegant, but it worked. Command, to their credit, didn't scrap the project—they'd already committed too much political capital, and the 42nd Defence Fleet needed hulls yesterday.

The Juza that entered service is a compromise. She's not as nimble as the Eltanin, not as tough as a proper battlecruiser, but she's adaptable. In a fleet engagement, that flux system lets her shift roles on the fly—brawler one moment, fire support the next. Crews either love her or hate her. There's no middle ground when your ship can dump power so fast the deck lighting flickers. //

- Senior Design Lead, Project Juza, Kori Naval Yards, Pre-Treaty Period",,,,,
XLII_juni,SHIP,"// After the Juza nearly bankrupted three yards and killed a test crew, Acquisitions & Sustainment did what they do best—panicked and demanded a cheaper version. The Juni-class is what happens when accountants get involved in ship design. Strip out the flux management system. Gut the experimental armour array. Standardise the power grid. Make it boring.

And you know what? It worked.

The Juni doesn't have her older sister's party tricks, but she also doesn't strobe her lighting every time you fire the main battery. She's got conventional plating, a standard power distribution network, and components you can actually source without waiting six months for Kori to fabricate replacements. Maintenance crews love her. She's predictable. She's boring. She doesn't try to kill you.

What's interesting—and this caught everyone off guard—is the energy weapon integration. We'd stripped so much mass out of the design that we had displacement to spare, and missile stocks were getting tight during the final push. Someone in Ordnance suggested we try captured beam mounts from a Tri-Tachyon wreck. Command approved it as a field trial, figuring if it didn't work, we'd just weld over the hardpoints.

Turns out, energy weapons pair well with our doctrine. Most Draconis ships burn through missiles fast—strike hard, rearm, strike again. The Juni can sustain. Her beams won't alpha-strike a target into scrap, but they'll keep pressure on while the Rastabans reload, and they don't care about EWAR. No guidance to jam, no munitions to intercept. Just raw thermal output.

She's not flashy. She won't win any awards. But the Juni does her job, stays in the fight, and doesn't bankrupt the repair budget. After the Juza's development hell, that's a goddamn miracle. //

- Fleet Procurement Office, Post-War Assessment, Itoron Naval Command",,,,,
XLII_asuia,SHIP,"IDENTIFICATION ERROR: No matching hull signature.
Note: Primary registry checksum [CORRUPTED]. Secondary hash [REDACTED].
Alert: Vessel configuration anomaly detected — carrier profile with non-standard armament loadout.

// FILE INTEGRITY: COMPROMISED
// ACCESS LEVEL: RESTRICTED
// CROSS-REFERENCE WARNING: TRI-TACHYON ARCHIVES

[BEGIN REPORT EXCERPT - DECLASS LV.7]

Subject: ""Asuia-class"" — designation unconfirmed.

Anomalous carrier variant displaying shield coherence patterns inconsistent with known Draconis Stellar Alliance manufacturing capabilities. Hull geometry bears [DATA EXPUNGED] % similarity to classified Tri-Tachyon prototype schematics.

Intelligence Assessment: CRITICAL DISCREPANCY
— Alliance maintains strict isolationist doctrine
— No recorded tech exchange agreements with Tri-Tachyon Corp
— Production volume suggests established manufacturing infrastructure

Query: How did they get the blueprints?
Query: How are they producing so many?

Field reports confirm exceptional escort performance metrics. Carrier complement remains active while providing direct fire support — tactically unprecedented for Alliance doctrine.

Recommendation: Immediate investigation into potential intelligence breach.

[ALERT] Tri-Tachyon legal department has been notified of potential IP violation.

[END EXCERPT]

// WARNING: CORPORATE ESPIONAGE SUSPECTED
// INVESTIGATE ALL PERSONNEL WITH TT-CLEARANCE
// ARCHIVE ACCESS RESTRICTED PENDING REVIEW",,,,,
XLII_altais,SHIP,"// I've been in this navy long enough to know that when Acquisitions & Sustainment promises you something, you're getting half of it, twice the weight, and three years late. So when they told us the Altais-class would hit thirty-two percent above standard capital acceleration and mount a full missile grid without compromise, I laughed in their faces.

Then the trials data came back.

She's real. All of it. The Altais is the fastest capital ship we've ever fielded, bar none—acceleration curves that put some light cruisers to shame. Command wanted a ship that could reposition during an engagement, exploit gaps, hammer enemy formations before they could respond. What they got was a battlecruiser that fights like a heavyweight with a flyweight's footwork.

The missile doctrine's perfect for it. Thirty-six Sabre launch cells, full EWAR integration, targeting solutions that make the Eltanins look archaic. You can dump enough ordnance to shred a battle line before they've locked solutions. Combined with that speed? It's a fleet killer.

Here's the part Acquisitions left off the spec sheets: she's made of tissue paper and good intentions.

I'm not exaggerating. The Altais sacrifices damn near everything for that speed and firepower. Armour's a joke—barely enough plating to stop debris. Shields are adequate at best. Take a sustained barrage from anything heavier than a destroyer, and you're counting hull breaches in the double digits. We lost the Vanguard in the Kori skirmishes because her captain got cocky, thought speed would save him. It didn't.

You fly an Altais like you're piloting an Eltanin with delusions of grandeur. Hit hard, reposition, never let them pin you. The second you trade blows with a proper battleship, you're done. But if you use her right—stay mobile, strike from range, exploit that ungodly acceleration—nothing in the sector can catch you, and nothing you catch survives.

It's a miracle they actually built what they promised.

It's a nightmare if you forget what they didn't. //

- Commander Torres, XLII Battlegroup Operations",,,,,
XLII_alwaid,SHIP,"// They call her slow. They joke about the Alwaid arriving fashionably late to every engagement. I've heard the gallows humour from the destroyer crews—""safest posting in the fleet is carrier duty, the fight's over before you get there.""

They're not wrong. But they don't understand why.

When Command greenlit the Alwaid project three years into the rebuilding effort, we had two directives: maximum strike capacity and operational endurance. Nothing about speed. The 42nd had learned the hard way during the war that carriers don't hunt—they anchor. You build your battlespace around them, not the other way around.

So we built her massive. Dual hangar complexes running the length of her spine, capable of cycling four full strike wings simultaneously. We integrated an electromagnetic launch system—salvaged Tri-Tach tech we reverse-engineered from a derelict we found drifting near Vorium. Took eight months just to get the capacitors stable. Command was breathing down our necks the whole time, threatening to scrap the project and go with conventional catapults.

But the EMALS worked. Sort of. It cuts launch times by forty percent and requires half the deck crew of the old magnetic rails. The trade-off? The system draws so much power that we had to install a dedicated reactor just to keep it fed. That reactor, plus the armour belt Command insisted on after the Athebyne fiasco, plus the weapons grid—she ended up massing nearly twice what the initial projections called for.
Hence the speed. Or lack thereof.

The propulsion engineers did what they could. Triple redundant drive housings, oversized radiators, the works. She still moves like a station with delusions of mobility. But here's what the critics miss: the Alwaid doesn't need to be fast. Her strike craft are fast. Her escorts are fast. She sits in the centre of a fleet formation like a fortress and projects power across an entire battlespace.

During the shakedown trials off Kori, we watched her coordinate a simultaneous strike across three different vectors while her point defence network swatted down everything the OPFOR threw at us. The Giausar-class destroyers screening her didn't fire a shot—the Alwaid's own defensive suite handled it. Command wanted a mobile firebase. That's exactly what they got.

Sure, she's a nightmare to reposition. Takes nearly an hour to spin up her drives from cold. But once she's on station? You'd need a battlegroup to shift her.

The Marines love her. Plenty of room for their gear, dedicated staging bays, even a full medical wing. The pilots complain about the EMALS—say the launch sequence feels ""wrong"" compared to the old rails. They'll get used to it. They always do.

Would I have designed her differently if I'd known how the doctrine would shift toward fast-response strike groups? Maybe. But then I look at the footage from the Ring-Port interdiction last year—Alwaid sitting at the gravity well's edge, calmly launching wave after wave while her escorts danced through the debris field. The pirates never got within weapons range.

She's not elegant. She's not quick. But she's exactly what we needed.

They joke about her being late to the party. Fine. Let them joke. By the time she arrives, she is the party. //

- Senior Naval Architect Kaida Okonkwo, Kori Naval Yards",,,,,
XLII_kuma,SHIP,"// Vance,

You asked for my honest take on the Kuma-class. Here it is: she's a nightmare wrapped in a compromise, held together by wishful thinking and Admiral Torres' stubbornness.

Command greenlit this beast during the final months of the war—original brief was colony escort duty, deep space endurance, mobile command platform for the exodus fleets nobody wanted to talk about. The engineers built exactly what was asked: massive solar arrays, skeletal frame, enough reactor capacity to run a small station. What they didn't build was armour. Or redundant structural supports. Or anything resembling battlefield survivability.

Initial trials nearly scrapped the entire project. First combat exercise, simulated frigate squadron breached the outer hull in under two minutes. The superstructure buckled. We lost power to three weapon sections. Torres nearly had an aneurysm.

But here's the thing—someone in Acquisitions noticed the flux dissipation numbers. That oversized solar array and exposed frame? Perfect heat sink. All those weapon hardpoints meant for defensive turrets? Refit them with long-range mass drivers and missile batteries, and suddenly you've got something interesting.

She's a glass cannon, no question. Paper-thin armour, fragile as hell, slow to manoeuvre. But keep the shields up, position her at standoff range, and the Kuma will turn anything without a capital-grade shield array into expanding debris. We're talking coordinated saturation strikes at ranges most battleships can't even target. Combined with our EWAR doctrine, she's devastating in fleet actions—provided someone else tanks the incoming fire.

Current deployment has them paired with Eltanin-class screens and Giausar-class PD support. It works. Not elegant, but it works. The crews hate her—maintenance is constant, and everyone knows one lucky hit to the superstructure means evacuation. But the firepower numbers don't lie.
Torres was right about one thing: keep those shields up. Because if they drop, you're not floating scrap in thirty seconds.
You're vapour in fifteen.

Recommend keeping Kuma-class deployments to fleet actions only. No solo patrols, no rapid response. She's an artillery platform, not a ship of the line. Treat her like one, and she'll do the job. Send her charging in like the Altais, and you'll be writing condolence letters.

Your call. //

- Captain Reeves, Capital Ship Division, DDA Fleet Command",,,,,
XLII_sunsetter,SHIP,"IDENTIFICATION ERROR: No matching hull signature.
Note: Primary registry checksum [CORRUPTED]. Secondary hash [REDACTED].

Alert: Vessel exhibits temporal desynchronization beyond Phase Cloak tolerances.

Attempting heuristic classification…

Result: ""Impossible.""

// TEMPORAL ANOMALY DETECTED
// CRITICAL DOMAIN INFOSEC VIOLATION
// AUTO-SCRUB INITIATED

… … …

REMAIN CALM.
DO NOT observe the vessel directly.
DO NOT engage under any circumstance.
DO NOT transmit this log.",,,,,
XLII_aldibain,SHIP,"The Aldibain-class is a multirole, single-seat, heavy fighter designed to fill the many gaps in the Draconis fleet’s fighter wings; it serves double duty as a fast attack craft, escort and interceptor. It has had a troubled development as it was rushed into service at the start of the civil war but after its teething issues were ironed out, it has become a staple of the Draconis Navy and remains the face of the Alliance’s propaganda department.",,,,,
XLII_tianyi,SHIP,"The Tianyi was born not from a need for speed or firepower, but silence—of the enemy’s sensors, comms, targeting arrays, and most importantly missile systems. Commissioned towards the end of the Fafnir civil war, it replaced its missile hardpoints with bulky electronic warfare pods, a dedicated EW suite and an advanced Spaceborne Warning and Control System. The result: a jamming platform disguised as a fighter, able to slice through hostile ECM fields and suppress capital-grade missile targeting systems mid-flight.",,,,,
XLII_eldsich,SHIP,"Originally a testbed for a now forgotten space plane program during peacetime, the Eldsich-class has become the primary space bomber for the Alliance, it’s not very versatile and lacks a lot of the capability of the other bombers in the sector, as most of its more advanced features had to be stripped to fit the nuclear armament it carries. However, just one nuclear bomb hitting an unshielded target is catastrophically effective, which to command, is all that matters.",,,,,
XLII_nodus,SHIP,"The Nodus-class fighter-bomber is an advanced man-in-the-loop drone fighter. Its larger size results from an advanced onboard control system, synced to a pilot on its mothership, semi-predicting the linked pilot's orders with little to no delay.",,,,,
XLII_rastaban_mrm,SHIP,The Excalibur is an advanced hunter-killer drone. Meant as a way to keep the Rastaban-class Destroyer as light as possible by removing some of the internally mounted missiles from the ship.,,,,,
XLII_evasionprotocol,SHIP_SYSTEM,"Simultaneously deploys countermeasures and engages emergency maneuvering thrusters. The system dumps chaff and flares to confuse incoming ordnance while redirecting all available power to the RCS thruster array, dramatically improving the ship's acceleration and top speed for a brief period.

Originally developed for capital ship escorts operating in heavy missile environments, the system has proven equally effective for breaking contact with hostile fighters and evading energy weapon fire. The rapid acceleration changes can be punishing on crew and equipment alike.",Movement,Launches flares and chaff while greatly increasing the ship's speed and acceleration for rapid evasive maneuvers.,,The ship's top speed is increased by {{200}} and acceleration is dramatically improved. Deploys flares to confuse the guidance systems of nearby enemy missiles.,
XLII_safety_overrides,SHIP_SYSTEM,"Briefly overrides standard safety protocols and operational limits, pushing the ship's systems and engines to their extremes. The override dramatically increases engine output and flux dissipation rates while preventing emergency venting procedures - a necessary safety measure to avoid catastrophic overloads during the high-energy operation.

Larger ships see diminishing returns from the system due to their more complex power distribution networks and additional safety interlocks. Fleet regulations strictly prohibit routine use of this system outside of genuine emergencies. Expect reprimanding and lots of paperwork afterwards.",Movement,Overrides safety protocols to dramatically boost top speed with a corresponding increase in acceleration and flux dissipation. Allows the zero-flux engine boost to take effect regardless of flux level. Prevents emergency venting while active.,,Increases top speed by {{50}}/{{40}}/{{30}}/{{20}} depending on hull size and doubles flux dissipation rate. Emergency venting is disabled while the system is active.,
XLII_flarelauncher,SHIP_SYSTEM,"Rapidly deploys a comprehensive countermeasure suite consisting of chaff clouds and flare dispensers. The system floods the local area with metallic particulates and thermal decoys, creating a defensive screen that confuses missile guidance systems and disrupts enemy targeting solutions.

The automated deployment sequence prioritizes speed over efficiency, expending multiple countermeasure canisters simultaneously to ensure maximum coverage in high-threat scenarios.",Defensive,Rapidly deploys chaff and flares to confuse enemy missiles and disrupt targeting systems.,,Deploys chaff clouds and flares to confuse the guidance systems of nearby enemy missiles and interfere with enemy targeting.,
XLII_eam_suite,SHIP_SYSTEM,"Activates a battlefield-scale electronic attack suite that floods hostile sensors and defensive grids with destabilizing interference. Enemy vessels caught within range become far more vulnerable to incoming fire as their shields, armor harmonics, and hull integrity monitors are forced into constant failure states.

The price for this power is steep. To maintain such an aggressive broadcast, the host vessel must disable much of its own protection, leaving it just as exposed to enemy fire as those it seeks to overwhelm.",Offensive,Projects a jamming field that makes all ships within range take increased damage. The user is equally vulnerable while active.,,All enemy ships within {{1500}} su take {{25%}} more damage from all sources. The user also takes {{25%}} more damage while the system is active.,
XLII_ecm_suite,SHIP_SYSTEM,"Launches a brief but intensive electronic attack across all relevant wavelengths of the electromagnetic spectrum. The system floods local space with broadband interference designed to overwhelm the guidance systems of incoming ordnance, causing missiles to lose target lock and detonate harmlessly or drift inert.

The jamming pulse is precisely targeted and highly effective, capable of neutralising even the most sophisticated missile guidance packages within seconds of activation.",Defensive,Launches an electronic attack that instantly disables all enemy missiles within range. Brief activation with limited charges.,,Disables all enemy missiles within {{1000}} su instantly.,
XLII_ecm_suite_Fighter,SHIP_SYSTEM,"Launches a brief but intensive electronic attack across all relevant wavelengths of the electromagnetic spectrum. The system floods local space with broadband interference designed to overwhelm the guidance systems of incoming ordnance, causing missiles to lose target lock and detonate harmlessly or drift inert.

The jamming pulse is precisely targeted and highly effective, capable of neutralising even the most sophisticated missile guidance packages within seconds of activation. This is the Fighter-mounted version, and thus operates at reduced power to prevent interference with the host wing's own systems.",Defensive,Launches an electronic attack that instantly disables all enemy missiles within range. Brief activation with limited charges.,,Disables all enemy missiles within {{500}} su instantly.,
XLII_esw_suite,SHIP_SYSTEM,"Establishes a sustained broad-spectrum electronic attack across all relevant wavelengths of the electromagnetic spectrum. The system continuously broadcasts interference patterns that scramble enemy weapon targeting computers and fire-control systems, with the jamming effect weakening as targets move closer to the source.

Ships at the edge of the jamming field experience severe targeting disruptions and range penalties, while those that manage to close distance find their systems gradually recovering functionality. The sustained nature of the attack makes it ideal for area denial and forcing enemy formations to commit to close-range engagements.",Offensive,"Continuously jams enemy weapon systems, reducing their effective range. Distant enemies suffer greater penalties than those at close range.",,Reduces enemy weapon range within {{2500}} su. Range penalty varies from {{25%}} at maximum distance to {{5%}} at close range.,
XLII_mrm_strike,SHIP_SYSTEM,"Sends a Kill order to one of the Excalibur drones. The drone tracks a nearby target like a missile, dealing massive area damage on impact.",Offensive,,,,
